name,id,other_index
ALL,168,AEO aluminum industry throughput categories
ALL,126,AEO paper industry throughput categories
ALL,162,AEO steel  industry throughput categories
ALL,148,AEO glass industry throughput categories
ALL,173,AEO Chemical Process Subset
ALL,154,AEO cement industry throughput categories
AgriChem,172,AEO Chemical Process Subset
Annlengycrp,44,biomass - domestic cellulosic feedstocks
BAUXITE,167,AEO aluminum industry throughput categories
BF/BOF,159,AEO steel  industry throughput categories
BLEACH,120,AEO paper industry throughput categories
B_RCYL,146,AEO glass industry throughput categories
B_VRGN,147,AEO glass industry throughput categories
Barley-strw,39,biomass - domestic cellulosic feedstocks
Biodiesel (soybeans),61,biomass - domestic lipid feedstocks
Biodiesel (waste),60,biomass - domestic lipid feedstocks
CGT,32,biomass - domestic cellulosic feedstocks
CHEM_P,123,AEO paper industry throughput categories
COKE,161,AEO steel  industry throughput categories
COLD_RL,155,AEO steel  industry throughput categories
CONTIN,158,AEO steel  industry throughput categories
CR,33,biomass - domestic cellulosic feedstocks
Ceiling Fans,75,miscellaneous residential loads
Coal 2nd Heat,87,residential secondary heat
Coffee Machines,76,miscellaneous residential loads
Corn-stvr,40,biomass - domestic cellulosic feedstocks
DRY,150,AEO cement industry throughput categories
DRY-BAL,153,AEO cement industry throughput categories
DVD Players,68,miscellaneous residential loads
Dehumidifiers,77,miscellaneous residential loads
Distillate 2nd Heat,84,residential secondary heat
Distillate Appliances,92,other residential appliances
EAF,160,AEO steel  industry throughput categories
Electric 2nd Heat,83,residential secondary heat
Electric Other Appliances,89,other residential appliances
Ethanol (corn),59,biomass - domestic corn feedstocks
FORM,143,AEO glass industry throughput categories
Fuelwood,55,biomass - domestic cellulosic feedstocks
GRIND,149,AEO cement industry throughput categories
Gas 2nd Heat,82,residential secondary heat
HOT_RL,156,AEO steel  industry throughput categories
Home Theater Systems,67,miscellaneous residential loads
INGOT,157,AEO steel  industry throughput categories
Inorganic,169,AEO Chemical Process Subset
KRAFT_P,124,AEO paper industry throughput categories
Kerosene 2nd Heat,86,residential secondary heat
LIME,152,AEO cement industry throughput categories
LOGI,50,biomass - domestic cellulosic feedstocks
LOGO,51,biomass - domestic cellulosic feedstocks
LOGP,52,biomass - domestic cellulosic feedstocks
LOGTOF,53,biomass - domestic cellulosic feedstocks
LPG 2nd Heat,85,residential secondary heat
LPG Appliances,91,other residential appliances
M,62,biomass - domestic manure feedstocks
MECH_P,122,AEO paper industry throughput categories
MRESUS,46,biomass - domestic cellulosic feedstocks
MRESUU_ST,47,biomass - domestic cellulosic feedstocks
MSW sources-Ag,31,biomass - domestic cellulosic feedstocks
MSW sources-Forest,58,biomass - domestic cellulosic feedstocks
M_RCYL,144,AEO glass industry throughput categories
M_VRGN,145,AEO glass industry throughput categories
Microwaves,78,miscellaneous residential loads
Mill residue,56,biomass - domestic cellulosic feedstocks
Natural Gas Appliances,90,other residential appliances
Network Equipment,73,miscellaneous residential loads
OVP,34,biomass - domestic cellulosic feedstocks
Oats-strw,41,biomass - domestic cellulosic feedstocks
Organic,170,AEO Chemical Process Subset
PAPER_M,119,AEO paper industry throughput categories
